file,label,r,int,scenario,delay,seed,ill,attackavg,attack0,attack1,attack2,attack3,attack4,peakill,peaktime,vaccinesused,antiviralsused,pop0,pop1,pop2,pop3,pop4
sims/1/Summary10016,sims/1/config.la.1.3-het6-147,1.3,1,het6,1,-1,85873,0.00774169,0.0068998,0.0138843,0.00603187,0.00627053,0.00429638,4468,178,2665015,0,725673,2459756,1408851,5216464,1281544
sims/1/Summary10017,sims/1/config.la.1.3-het6-142,1.3,1,het6,1,-1,81260,0.00732583,0.00637078,0.0132201,0.00561506,0.00594474,0.00406862,4125,178,2666844,0,724872,2457855,1408890,5217891,1282744
sims/1/Summary10018,sims/1/config.la.1.3-het6-130,1.3,1,het6,1,-1,83264,0.00750652,0.00656779,0.0135003,0.00595315,0.00606648,0.00411784,4006,178,2665930,0,724140,2458314,1409337,5215050,1285382
sims/1/Summary10019,sims/1/config.la.1.3-het6-125,1.3,1,het6,1,-1,79079,0.00712916,0.00603894,0.0128542,0.00554417,0.00577448,0.00403087,3817,178,2664781,0,725624,2457560,1410130,5214671,1284339
sims/1/Summary10020,sims/1/config.la.1.3-het6-139,1.3,1,het6,1,-1,71833,0.00647591,0.00575269,0.0116483,0.005002,0.00523911,0.00362339,3760,177,2667112,0,726443,2457964,1410637,5214247,1283054
sims/1/Summary10021,sims/1/config.la.1.3-het6-129,1.3,1,het6,1,-1,93048,0.00838854,0.00717471,0.0151232,0.00669472,0.00675657,0.004661,4520,178,2667021,0,724907,2459533,1408125,5215221,1284487
sims/1/Summary10022,sims/1/config.la.1.3-het6-145,1.3,1,het6,1,-1,84000,0.00757293,0.00660217,0.0135611,0.00587655,0.00618657,0.00414637,4505,178,2666002,0,725671,2458659,1409842,5214681,1283290
sims/1/Summary10023,sims/1/config.la.1.3-het6-127,1.3,1,het6,1,-1,82948,0.00747801,0.00659808,0.0134861,0.00588808,0.00602575,0.00411571,4124,178,2666821,0,724605,2458454,1410137,5214951,1284104
sims/1/Summary10024,sims/1/config.la.1.3-het6-131,1.3,1,het6,1,-1,82921,0.0074756,0.00652067,0.0134394,0.00575914,0.00607692,0.00414383,4033,177,2665761,0,725386,2460966,1409237,5214480,1282147
sims/1/Summary10025,sims/1/config.la.1.3-het6-128,1.3,1,het6,1,-1,64956,0.00585594,0.00514297,0.0104198,0.0046592,0.00477209,0.00324065,3193,178,2665958,0,724678,2457724,1408827,5216168,1284926
sims/1/Summary10026,sims/1/config.la.1.3-het6-122,1.3,1,het6,1,-1,91955,0.00829008,0.00711086,0.0149846,0.0066076,0.0066486,0.00462816,4715,178,2667739,0,726494,2461460,1408227,5214484,1281503
sims/1/Summary10027,sims/1/config.la.1.3-het7-104,1.3,1,het7,1,-1,44039,0.00397021,0.00371196,0.00674927,0.00327245,0.00331969,0.00220349,2068,178,2788918,0,724954,2458783,1410563,5212838,1285234
sims/1/Summary10028,sims/1/config.la.1.3-het6-149,1.3,1,het6,1,-1,65414,0.00589727,0.0049438,0.0106967,0.00464132,0.00475178,0.00327694,3075,178,2664507,0,723937,2458325,1411667,5215728,1282600
sims/1/Summary10029,sims/1/config.la.1.3-het6-136,1.3,1,het6,1,-1,69888,0.00630058,0.00533451,0.0114576,0.00486169,0.00510106,0.0034307,3650,178,2664780,0,725653,2457671,1410414,5212248,1286327
sims/1/Summary10030,sims/1/config.la.1.3-het7-108,1.3,1,het7,1,-1,47413,0.00427442,0.00377666,0.00744259,0.00345461,0.00351741,0.00244976,2224,178,2790191,0,724714,2462584,1409421,5213783,1281757
sims/1/Summary10031,sims/1/config.la.1.3-het7-105,1.3,1,het7,1,-1,62397,0.00562523,0.00505149,0.00973464,0.00448707,0.00466988,0.00320324,2650,171,2790742,0,724934,2459977,1408270,5216410,1282765
sims/1/Summary10032,sims/1/config.la.1.3-het7-112,1.3,1,het7,1,-1,54320,0.00489715,0.00434536,0.0083855,0.00394707,0.0041089,0.00276958,2201,174,2788683,0,725372,2459126,1409655,5216235,1281781
sims/1/Summary10033,sims/1/config.la.1.3-het7-110,1.3,1,het7,1,-1,60837,0.00548465,0.00485152,0.00940491,0.00454531,0.00454935,0.00314869,2485,178,2789917,0,724721,2462651,1408484,5213929,1282440
sims/1/Summary10034,sims/1/config.la.1.3-het7-113,1.3,1,het7,1,-1,45153,0.00407069,0.00373244,0.00701982,0.0033038,0.0033707,0.0022933,1994,177,2791508,0,724460,2461033,1407470,5214643,1284611
sims/1/Summary10035,sims/1/config.la.1.3-het7-114,1.3,1,het7,1,-1,73378,0.00661524,0.00584997,0.0114977,0.00536377,0.00544753,0.00381827,2889,178,2787814,0,723765,2458673,1408898,5214476,1286447
sims/1/Summary10036,sims/1/config.la.1.3-het7-115,1.3,1,het7,1,-1,64671,0.00583026,0.00506234,0.010137,0.00470421,0.00483263,0.00329897,2645,176,2790567,0,725752,2460102,1410015,5212692,1283735
sims/1/Summary10037,sims/1/config.la.1.3-het7-116,1.3,1,het7,1,-1,56283,0.00507403,0.00458277,0.00866652,0.00420605,0.00421102,0.0029231,2383,176,2791378,0,724671,2460965,1406784,5215360,1284594
sims/1/Summary10038,sims/1/config.la.1.3-het7-117,1.3,1,het7,1,-1,47824,0.00431145,0.00384792,0.00740674,0.00354188,0.00359518,0.00239063,2123,175,2790773,0,725067,2461407,1408010,5215321,1282507
sims/1/Summary10039,sims/1/config.la.1.3-het7-120,1.3,1,het7,1,-1,63903,0.00576105,0.00499072,0.0100685,0.00462072,0.00477331,0.00320229,2769,176,2789621,0,724946,2460553,1409305,5214618,1282833
sims/1/Summary10040,sims/1/config.la.1.3-het7-127,1.3,1,het7,1,-1,62482,0.00563294,0.00494476,0.00957309,0.00466267,0.0046871,0.00338446,2366,174,2789565,0,724605,2458454,1410137,5214951,1284104
sims/1/Summary10041,sims/1/config.la.1.3-het7-119,1.3,1,het7,1,-1,48603,0.00438169,0.00388766,0.00753413,0.00362056,0.00362273,0.00253973,2298,178,2790573,0,723571,2459608,1408068,5217063,1283996
sims/1/Summary10042,sims/1/config.la.1.3-het7-128,1.3,1,het7,1,-1,56153,0.00506233,0.00441299,0.00873206,0.00417865,0.00419906,0.00288266,2460,178,2788769,0,724678,2457724,1408827,5216168,1284926
sims/1/Summary10043,sims/1/config.la.1.3-het7-131,1.3,1,het7,1,-1,57166,0.0051537,0.00457549,0.00882133,0.00413557,0.00429746,0.00304255,2242,175,2788805,0,725386,2460966,1409237,5214480,1282147
sims/1/Summary10044,sims/1/config.la.1.3-het7-124,1.3,1,het7,1,-1,63990,0.00576895,0.00510969,0.00984648,0.00483733,0.004802,0.00327763,2573,176,2790494,0,726658,2459965,1407802,5213865,1283856
