r,scenario,attack0,attack1,attack2,attack3,attack4
1.2,het9,0.000821214,0.001341150,0.000809566,0.000806791,0.000497960
1.2,het9,0.000907422,0.001398920,0.000728107,0.000760007,0.000464526
1.2,het9,0.000905065,0.001319960,0.000800959,0.000758839,0.000527014
1.2,hom0,0.003470600,0.010214300,0.003239490,0.003296640,0.001626040
1.2,hom0,0.003190090,0.009550790,0.003062200,0.003156020,0.001588760
1.2,hom0,0.003946170,0.011883300,0.003738270,0.003866580,0.001870200
1.2,hom0,0.003302520,0.009342640,0.002976100,0.003061630,0.001522570
1.2,hom0,0.003326530,0.010132000,0.003155640,0.003327270,0.001636170
1.2,hom0,0.003337570,0.010421000,0.003312190,0.003496610,0.001693930
1.2,hom0,0.003334440,0.009847190,0.003200760,0.003326810,0.001617710
1.2,hom0,0.003124300,0.009021640,0.002856000,0.002927840,0.001467560
1.2,hom0,0.004589520,0.013749000,0.004481480,0.004546040,0.002125440
1.2,hom0,0.003531910,0.010504400,0.003381130,0.003454940,0.001701620
1.2,hom1,0.002658800,0.007274230,0.002494390,0.002540590,0.001252050
1.2,hom1,0.002398430,0.007095870,0.002514140,0.002524090,0.001210040
1.2,hom1,0.001866610,0.004850390,0.001756200,0.001748520,0.000863684
1.2,hom1,0.002574030,0.007397340,0.002632800,0.002603320,0.001223810
1.2,hom1,0.002715620,0.007793960,0.002672860,0.002740130,0.001317210
1.2,hom1,0.002142920,0.005661290,0.001993650,0.002006960,0.001034760
1.2,hom1,0.002899780,0.008286770,0.002729350,0.002832970,0.001348380
1.2,hom1,0.002003780,0.005821250,0.002045230,0.002081920,0.001031930
1.2,hom1,0.002007770,0.005843700,0.002043340,0.002073240,0.000969409
1.2,hom1,0.002149510,0.005972730,0.002033310,0.002131120,0.001069800
1.2,hom10,0.000276471,0.000270907,0.000336984,0.000307985,0.000187106
1.2,hom10,0.000285368,0.000246913,0.000344020,0.000296567,0.000155120
1.2,hom10,0.000287309,0.000207031,0.000327100,0.000292572,0.000174382
1.2,hom10,0.000345682,0.000270560,0.000349524,0.000317984,0.000186300
1.2,hom10,0.000292914,0.000247915,0.000332637,0.000293109,0.000170017
1.2,hom10,0.000332387,0.000253017,0.000350250,0.000319995,0.000176529
1.2,hom10,0.000271618,0.000207945,0.000322691,0.000287626,0.000157071
1.2,hom10,0.000315805,0.000231663,0.000323603,0.000280759,0.000163675
1.2,hom10,0.000314684,0.000214649,0.000324111,0.000299863,0.000183623
1.2,hom10,0.000299622,0.000245401,0.000337715,0.000318251,0.000182192
1.2,hom11,0.000243768,0.000170217,0.000350945,0.000290174,0.000133294
1.2,hom11,0.000255152,0.000150102,0.000280767,0.000263018,0.000143867
1.2,hom11,0.000271618,0.000166518,0.000295741,0.000271903,0.000155508
1.2,hom11,0.000256819,0.000149110,0.000286632,0.000268374,0.000148713
1.2,hom11,0.000227732,0.000180907,0.000318425,0.000290276,0.000184401
1.2,hom11,0.000255126,0.000172325,0.000293797,0.000272130,0.000123146
1.2,hom11,0.000215950,0.000162300,0.000314992,0.000287082,0.000155921
1.2,hom11,0.000202652,0.000150507,0.000313582,0.000258777,0.000137971
1.2,hom11,0.000276412,0.000197029,0.000368100,0.000316305,0.000157539
1.2,hom11,0.000245870,0.000163916,0.000298009,0.000265731,0.000157255
1.2,hom2,0.001193860,0.003069530,0.001206900,0.001221950,0.000609567
1.2,hom2,0.001835870,0.004787320,0.001794400,0.001797190,0.000868802
1.2,hom2,0.001680210,0.004496740,0.001653850,0.001740280,0.000880055
1.2,hom2,0.001345380,0.003628940,0.001374390,0.001387700,0.000675731
1.2,hom2,0.001642460,0.004100040,0.001576150,0.001569870,0.000766936
1.2,hom2,0.001224180,0.003345660,0.001351480,0.001338370,0.000650972
1.2,hom2,0.001458860,0.003650260,0.001367520,0.001427220,0.000723599
1.2,hom2,0.001271620,0.003086650,0.001248560,0.001257150,0.000639236
1.2,hom2,0.001476020,0.003801280,0.001380660,0.001386950,0.000676603
1.2,hom2,0.001369120,0.003448960,0.001349630,0.001360860,0.000657980
1.2,hom3,0.001371710,0.003442530,0.001370390,0.001392190,0.000699211
1.2,hom3,0.001107020,0.002751890,0.001158910,0.001161320,0.000578682
1.2,hom3,0.001125430,0.002712000,0.001132990,0.001152410,0.000550582
1.2,hom3,0.001115430,0.002639520,0.001151050,0.001100840,0.000589994
1.2,hom3,0.001050750,0.002521450,0.001064940,0.001016330,0.000518547
1.2,hom3,0.000997879,0.002186330,0.000966646,0.000960941,0.000467616
1.2,hom3,0.001144620,0.002560080,0.001051000,0.001077200,0.000572864
1.2,hom3,0.000940827,0.002168070,0.000975481,0.000919160,0.000516879
1.2,hom3,0.001086330,0.002507770,0.001051880,0.001060620,0.000564357
1.2,hom3,0.000828775,0.001996690,0.000916023,0.000885386,0.000486558
1.2,hom4,0.000813367,0.001710900,0.000814039,0.000774604,0.000410016
1.2,hom4,0.000692742,0.001441770,0.000724623,0.000694846,0.000366365
1.2,hom4,0.000767352,0.001643400,0.000749675,0.000779261,0.000421143
1.2,hom4,0.000770761,0.001584250,0.000767019,0.000751945,0.000387689
