"","scenario","r","AgeGroup","AveAttackRate","SDAttackRate","vax"
"145","het","1.4","65+",0.07936824,0.00162056605487781,"1"
"146","het","1.4","0-4",0.005146847,0.000822570311443209,"10"
"147","het","1.4","5-18",0.00806009,0.00131953227452424,"10"
"148","het","1.4","19-29",0.004898057,0.000757948466484071,"10"
"149","het","1.4","30-64",0.00492837,0.000772118476185272,"10"
"150","het","1.4","65+",0.002938646,0.000491025379819278,"10"
"151","het","1.4","0-4",0.003284336,0.000461349073122631,"11"
"152","het","1.4","5-18",0.004652328,0.000674010844024206,"11"
"153","het","1.4","19-29",0.00315314,0.000470631086969637,"11"
"154","het","1.4","30-64",0.003101516,0.000457082778406227,"11"
"155","het","1.4","65+",0.001844261,0.000262274555272396,"11"
"156","het","1.4","0-4",0.1184631,0.00446785808612782,"2"
"157","het","1.4","5-18",0.2542608,0.00768173799489557,"2"
"158","het","1.4","19-29",0.10565604,0.00401918394901254,"2"
"159","het","1.4","30-64",0.1087665,0.00405594801221339,"2"
"160","het","1.4","65+",0.06567654,0.00246970751403661,"2"
"161","het","1.4","0-4",0.09822513,0.00410605355462449,"3"
"162","het","1.4","5-18",0.208767,0.00822541940842195,"3"
"163","het","1.4","19-29",0.08793162,0.00402595547025106,"3"
"164","het","1.4","30-64",0.09054812,0.00402267540762502,"3"
"165","het","1.4","65+",0.05434796,0.00235301341649856,"3"
"166","het","1.4","0-4",0.07518057,0.00587332356545726,"4"
"167","het","1.4","5-18",0.1566264,0.01083259064326,"4"
"168","het","1.4","19-29",0.06734687,0.00508239232799541,"4"
"169","het","1.4","30-64",0.06927531,0.0051722471932098,"4"
"170","het","1.4","65+",0.0412048,0.00314479945094543,"4"
"171","het","1.4","0-4",0.05407171,0.00431088652121321,"5"
"172","het","1.4","5-18",0.11006901,0.00853040796477193,"5"
"173","het","1.4","19-29",0.04917236,0.00389712581931294,"5"
"174","het","1.4","30-64",0.05041837,0.00394530854167326,"5"
"175","het","1.4","65+",0.02970027,0.00234679961699616,"5"
"176","het","1.4","0-4",0.03496881,0.00252787449207168,"6"
"177","het","1.4","5-18",0.06890967,0.00496757523279159,"6"
"178","het","1.4","19-29",0.03186092,0.00235654182168137,"6"
"179","het","1.4","30-64",0.03275855,0.00237646833171971,"6"
"180","het","1.4","65+",0.01919097,0.0014140412904941,"6"
"181","het","1.4","0-4",0.02245363,0.00165091970600228,"7"
"182","het","1.4","5-18",0.04202244,0.00289121696568533,"7"
"183","het","1.4","19-29",0.02077059,0.00140877009357651,"7"
"184","het","1.4","30-64",0.02108249,0.00146018664975102,"7"
"185","het","1.4","65+",0.01236469,0.000900240888071385,"7"
"186","het","1.4","0-4",0.01477271,0.00124804245071142,"8"
"187","het","1.4","5-18",0.02633578,0.00223186350677834,"8"
"188","het","1.4","19-29",0.0137008,0.00116039157184116,"8"
"189","het","1.4","30-64",0.01389192,0.00114855962917812,"8"
"190","het","1.4","65+",0.008100565,0.000642441303038651,"8"
"191","het","1.4","0-4",0.008151231,0.000811369070870683,"9"
"192","het","1.4","5-18",0.01357835,0.00140446159177735,"9"
"193","het","1.4","19-29",0.007624477,0.000811214990876854,"9"
"194","het","1.4","30-64",0.007700634,0.000764439211654894,"9"
"195","het","1.4","65+",0.004505093,0.000442683185787408,"9"
"196","hom","1.2","0-4",0.003515365,0.000440419217343607,"0"
"197","hom","1.2","5-18",0.010466626,0.00139578259532222,"0"
"198","hom","1.2","19-29",0.003340326,0.000468020689338505,"0"
"199","hom","1.2","30-64",0.003446038,0.000464345032247932,"0"
"200","hom","1.2","65+",0.001685,0.000189137455483219,"0"
"201","hom","1.2","0-4",0.002341725,0.000355414865919627,"1"
"202","hom","1.2","5-18",0.006599753,0.00111161432417553,"1"
"203","hom","1.2","19-29",0.002291527,0.000350954533872346,"1"
"204","hom","1.2","30-64",0.002328286,0.000363222525739311,"1"
"205","hom","1.2","65+",0.0011321073,0.000160492999225684,"1"
"206","hom","1.2","0-4",0.000302186,2.43540043798414e-05,"10"
"207","hom","1.2","5-18",0.0002396001,2.36249954471483e-05,"10"
"208","hom","1.2","19-29",0.0003348635,1.05617644490766e-05,"10"
"209","hom","1.2","30-64",0.0003014711,1.38894021745598e-05,"10"
"210","hom","1.2","65+",0.0001736015,1.18003640551185e-05,"10"
"211","hom","1.2","0-4",0.0002451099,2.35185807888619e-05,"11"
"212","hom","1.2","5-18",0.0001662931,1.50491788661191e-05,"11"
"213","hom","1.2","19-29",0.000312099,2.81406161821505e-05,"11"
"214","hom","1.2","30-64",0.000278377,1.74993444639125e-05,"11"
"215","hom","1.2","65+",0.0001497615,1.68058272978948e-05,"11"
"216","hom","1.2","0-4",0.001449758,0.000212288279406408,"2"
"217","hom","1.2","5-18",0.003741538,0.000571536637044769,"2"
"218","hom","1.2","19-29",0.001430354,0.000185293826976388,"2"
"219","hom","1.2","30-64",0.001448754,0.000193545087666931,"2"
"220","hom","1.2","65+",0.0007149481,9.48056623536919e-05,"2"
"221","hom","1.2","0-4",0.0010768771,0.000142729272965328,"3"
"222","hom","1.2","5-18",0.002548633,0.0004025732436064,"3"
"223","hom","1.2","19-29",0.001083931,0.000129432522272332,"3"
"224","hom","1.2","30-64",0.0010726397,0.000145894850040896,"3"
"225","hom","1.2","65+",0.000554529,6.50713357358249e-05,"3"
"226","hom","1.2","0-4",0.0007914122,9.95423269645185e-05,"4"
"227","hom","1.2","5-18",0.001719634,0.000257271556669429,"4"
"228","hom","1.2","19-29",0.0008238235,9.18594017498118e-05,"4"
"229","hom","1.2","30-64",0.0008014958,9.92658456657341e-05,"4"
"230","hom","1.2","65+",0.0004203119,5.55474223033296e-05,"4"
"231","hom","1.2","0-4",0.0005721646,8.0230413493748e-05,"5"
"232","hom","1.2","5-18",0.001076532,9.82610180477374e-05,"5"
"233","hom","1.2","19-29",0.0005964895,6.19880813010766e-05,"5"
